DT,Home,Away,Home_points,Away_points,season,country,league
2023-03-21 01:00:00,Houston Rockets,Golden State Warriors,108.0,121.0,2022-2023,usa,nba
2023-03-21 01:00:00,Memphis Grizzlies,Dallas Mavericks,112.0,108.0,2022-2023,usa,nba
2023-03-21 00:30:00,New York Knicks,Minnesota Timberwolves,134.0,140.0,2022-2023,usa,nba
2023-03-21 00:00:00,Charlotte Hornets,Indiana Pacers,115.0,109.0,2022-2023,usa,nba
2023-03-21 00:00:00,Philadelphia 76ers,Chicago Bulls,105.0,109.0,2022-2023,usa,nba
2023-03-20 02:30:00,Los Angeles Lakers,Orlando Magic,111.0,105.0,2022-2023,usa,nba
2023-03-20 02:00:00,Portland Trail Blazers,Los Angeles Clippers,102.0,117.0,2022-2023,usa,nba
2023-03-20 01:00:00,Milwaukee Bucks,Toronto Raptors,118.0,111.0,2022-2023,usa,nba
2023-03-20 00:00:00,Houston Rockets,New Orleans Pelicans,107.0,117.0,2022-2023,usa,nba
2023-03-19 23:00:00,Detroit Pistons,Miami Heat,100.0,112.0,2022-2023,usa,nba
2023-03-19 21:00:00,San Antonio Spurs,Atlanta Hawks,126.0,118.0,2022-2023,usa,nba
2023-03-19 20:30:00,Brooklyn Nets,Denver Nuggets,102.0,108.0,2022-2023,usa,nba
2023-03-19 20:30:00,Oklahoma City Thunder,Phoenix Suns,124.0,120.0,2022-2023,usa,nba
2023-03-19 02:00:00,Utah Jazz,Boston Celtics,118.0,117.0,2022-2023,usa,nba
2023-03-19 01:00:00,Chicago Bulls,Miami Heat,113.0,99.0,2022-2023,usa,nba
2023-03-19 01:00:00,Memphis Grizzlies,Golden State Warriors,133.0,119.0,2022-2023,usa,nba
2023-03-19 01:00:00,Washington Wizards,Sacramento Kings,118.0,132.0,2022-2023,usa,nba
2023-03-19 00:00:00,Indiana Pacers,Philadelphia 76ers,121.0,141.0,2022-2023,usa,nba
2023-03-19 00:00:00,Toronto Raptors,Minnesota Timberwolves,122.0,107.0,2022-2023,usa,nba
2023-03-18 20:00:00,Los Angeles Clippers,Orlando Magic,108.0,113.0,2022-2023,usa,nba
2023-03-18 18:00:00,New York Knicks,Denver Nuggets,116.0,110.0,2022-2023,usa,nba
